,id,url,date_catch,index_fraction,initials,country
112,10392,https://freeflow.mdba.gov.au,2018-08-25 22:09:40,0,au,Austrália 
499,63610,http://ftp4.de.freesbie.org/pub/misc/conferencing/ftp.ee.lbl.gov/,2018-08-30 06:59:55,1910,us,Estados Unidos da América
702,100473,https://handicap-free.nat.gov.tw,2018-09-01 07:12:49,2946,tw,Taiwan
793,118952,https://www.handicap-free.nat.gov.tw,2018-09-04 02:43:21,3435,tw,Taiwan
996,6176,http://data.environment.nsw.gov.au,2018-09-11 07:03:23,3793,au,Austrália 
1096,17602,https://www.transportation.gov/pr,2018-09-11 14:45:47,4096,us,Estados Unidos da América
1118,21059,https://data.nj.gov/,2018-09-11 17:15:29,4191,us,Estados Unidos da América
1122,21292,http://transportation.gov.ng,2018-09-11 17:24:33,4197,ng,Nigéria
1143,23413,https://stereodata.nascom.nasa.gov/,2018-09-11 19:00:55,4253,us,Estados Unidos da América
1151,24537,http://data.gov.gh,2018-09-11 19:48:43,4283,gh,Gana
1155,25095,http://www.transparencia.sp.gov.br,2018-09-11 20:13:27,4299,br,Brasil 
1159,25659,https://data.illinois.gov/pa,2018-09-11 20:36:56,4315,us,Estados Unidos da América
1160,25805,http://www.transparencia.cmsucupiradonorte.ma.gov.br,2018-09-11 20:42:43,4319,br,Brasil 
1166,26840,http://data.nconemap.gov/do,2018-09-11 21:29:40,4348,us,Estados Unidos da América
1180,28295,http://transparencia.cariacica.es.gov.br,2018-09-11 22:24:45,4387,br,Brasil 
1201,30872,http://transalvador.salvador.ba.gov.br,2018-09-12 00:12:45,4460,br,Brasil 
1242,35368,http://stcsecom.transparencia.pb.gov.br,2018-09-12 10:32:14,4570,br,Brasil 
1254,36690,https://transactionalnetwork.pnnl.gov/,2018-09-12 11:21:37,4602,us,Estados Unidos da América
1289,40941,https://www.openrecords.pa.gov/,2018-09-12 14:06:47,4705,us,Estados Unidos da América
1301,42346,http://lab.environment.data.gov.au,2018-09-12 15:03:24,4740,au,Austrália 
1315,43647,http://transparencia.picos.pi.gov.br,2018-09-12 15:49:16,4771,br,Brasil 
1323,44629,https://guidance.data.gov.uk,2018-09-12 16:30:46,4795,gb,Reino Unido 
1324,44661,http://transparencia.lagoadedentro.pb.gov.br,2018-09-12 16:31:59,4796,br,Brasil 
1342,46047,http://transparencia.causp.gov.br,2018-09-12 17:23:49,4831,br,Brasil 
1350,46929,https://www.thetransat.com/venues/view/www.plymouth.gov.uk,2018-09-12 18:02:03,4854,gb,Reino Unido 
1352,47069,http://odc.open.gov.ru,2018-09-12 18:06:39,4857,ru,Federação Russa
1356,47588,http://data.treasury.gov/Fe,2018-09-12 18:27:55,4870,us,Estados Unidos da América
1399,53417,https://www.data.gov/fo,2018-09-12 22:17:15,5011,us,Estados Unidos da América
1426,56280,http://waterdata.azdeq.gov/AZ,2018-09-13 10:44:24,5081,us,Estados Unidos da América
1432,56965,http://open-storage-conference.nstm.gov.tw,2018-09-13 11:12:14,5098,tw,Taiwan
1442,57839,https://ip.openadmintools.com/en/dns3.gov.il,2018-09-13 11:47:06,5119,il,Israel 
1444,57940,http://databases.lrpv.gov.lv,2018-09-13 11:50:56,5121,lv,Letônia
1456,60298,http://apteachertransfers17.cgg.gov.in,2018-09-13 13:30:21,5181,in,India 
1459,61074,http://transition.ne.gov/,2018-09-13 14:02:05,5200,us,Estados Unidos da América
1474,65132,https://data.maine.gov/,2018-09-13 16:50:55,5303,us,Estados Unidos da América
1486,68932,http://www.transportes.gov.br,2018-09-13 19:24:30,5398,br,Brasil 
1510,74036,http://pvc.datasus.gov.br,2018-09-13 22:51:16,5526,br,Brasil 
1518,76335,http://www.transparencia.ce.gov.br,2018-09-14 00:18:47,5584,br,Brasil 
1522,76825,https://data.mesaaz.gov/,2018-09-14 00:36:12,5596,us,Estados Unidos da América
2389,78531,https://www.openadmintools.com/zh-cn/apsumoa.gov.bd,2018-09-11 03:32:40,3657,bd,Bangladesh 
